brand,model,family
Volkswagen,Golf GTI / GTD / GTE,Golf
Volkswagen,e-Golf,Golf
Volkswagen,Golf R Cabrio,Golf
Volkswagen,Golf R Variant,Golf
Volkswagen,Passat Variant GTE,Passat
Volkswagen,Polo BlueGT,Polo
Volkswagen,Jetta / Vento / Bora,Jetta
Volkswagen,Jetta GLI,Jetta
Volkswagen,e-UP!,up!
Renault,Clio Symbol / Thalia,Clio
Renault,Megane E-Tech,Megane
Mercedes-Benz,A-Class Sedan,A-Klasse
Mercedes-Benz,C-Klasse and predecessors,C-Klasse
Mercedes-Benz,S-Class Maybach,S-Class
Mercedes-Benz,GLS Maybach,GLS-Class
Mercedes-Benz,EQS SUV Maybach,EQS
Mercedes-Benz,Maybach EQS SUV,EQS
Audi,RS5 Avant,RS 5
Audi,RS5 Cabriolet,RS 5
Audi,RS5 Sedan,RS 5
Audi,RS5 Sportback,RS 5
Audi,90,80/ 90
BMW,X3 M,X3 M
BMW,iX M,iX M
